"","Student","Teacher","Gender","Ethnic","Freeredu","Score","wesson"
"1",1,1,1,1,1,76,0
"2",2,1,1,3,2,56,0
"3",3,1,1,2,1,34,0
"4",4,1,1,1,2,59,0
"5",5,1,2,3,1,73,0
"6",6,1,2,4,2,58,0
"7",7,1,1,2,2,62,0
"8",8,1,2,3,1,40,0
"9",9,1,1,2,1,82,0
"10",10,1,2,2,2,78,0
"11",11,1,2,2,2,64,0
"12",12,1,1,1,2,68,0
"13",13,1,2,3,1,39,0
"14",14,1,2,4,1,48,0
"15",15,1,1,4,1,66,0
"16",16,1,2,1,1,68,0
"17",17,1,1,3,2,72,0
"18",18,1,1,2,1,60,0
"19",19,1,2,4,1,54,0
"20",20,1,2,1,2,34,0
"21",21,1,1,3,2,30,0
"22",22,1,2,1,1,43,0
"23",23,1,1,3,2,73,0
"24",24,1,2,2,1,44,0
"25",25,1,2,1,1,39,0
"26",26,1,2,2,1,67,0
"27",27,1,1,3,2,37,0
"28",28,1,2,4,1,67,0
"29",29,1,2,3,2,32,0
"30",30,1,2,4,2,64,0
"31",31,1,1,1,1,42,0
"32",32,1,2,3,1,58,0
"33",33,1,2,1,2,33,0
"34",34,1,2,4,1,47,0
"35",35,1,1,2,2,39,0
"36",36,1,2,4,2,65,0
"37",37,1,1,3,1,36,0
"38",38,1,2,4,2,50,0
"39",39,1,1,4,1,67,0
"40",40,1,1,2,2,74,0
"41",41,1,1,1,1,75,0
"42",42,1,2,3,2,69,0
"43",43,1,2,3,2,74,0
"44",44,1,2,2,1,32,0
"45",45,1,1,3,2,52,0
"46",46,1,2,2,2,36,0
"47",47,1,2,3,2,80,0
"48",48,1,1,1,1,30,0
"49",49,1,1,3,1,51,0
"50",50,1,1,3,1,65,0
"51",51,1,1,3,2,71,0
"52",52,1,2,4,2,40,0
"53",53,1,2,3,2,50,0
"54",54,1,1,1,1,30,0
"55",55,1,1,2,1,57,0
"56",56,1,2,3,2,34,0
"57",57,1,2,1,1,72,0
"58",58,1,2,2,1,68,0
"59",59,1,2,3,1,76,0
"60",60,1,2,3,2,54,0
"61",61,1,1,2,1,56,0
"62",62,1,2,3,2,59,0
"63",63,1,1,1,1,72,0
"64",64,1,1,3,1,77,0
"65",65,1,2,2,2,38,0
"66",66,1,2,3,2,33,0
"67",67,1,1,1,1,55,0
"68",68,1,2,2,2,51,0
"69",69,1,1,1,2,69,0
"70",70,1,2,1,2,48,0
"71",71,1,1,2,2,52,0
"72",72,2,2,1,2,60,0
"73",73,2,1,3,2,47,0
"74",74,2,2,2,1,62,0
"75",75,2,2,4,2,55,0
"76",76,2,1,3,2,50,0
"77",77,2,2,3,1,69,0
"78",78,2,2,2,2,72,0
"79",79,2,2,2,1,80,0
"80",80,2,2,1,1,85,0
"81",81,2,1,2,2,68,0
"82",82,2,2,3,1,45,0
"83",83,2,1,3,1,82,0
"84",84,2,2,1,2,51,0
"85",85,2,2,4,1,49,0
"86",86,2,1,2,1,72,0
"87",87,2,1,4,2,89,0
"88",88,2,2,2,2,65,0
"89",89,2,1,1,2,85,0
"90",90,2,2,2,2,80,0
"91",91,2,1,4,1,65,0
"92",92,2,2,3,1,91,0
"93",93,2,1,4,2,79,0
"94",94,2,2,3,1,79,0
"95",95,2,2,3,2,62,0
"96",96,2,2,1,2,87,0
"97",97,2,2,2,2,46,0
"98",98,2,2,1,2,48,0
"99",99,2,2,1,2,87,0
"100",100,2,2,1,2,95,0
"101",101,2,1,1,2,91,0
"102",102,2,1,4,2,53,0
"103",103,2,1,4,2,83,0
"104",104,2,2,2,1,77,0
"105",105,2,2,2,1,67,0
"106",106,2,2,4,2,52,0
"107",107,2,2,3,1,57,0
"108",108,2,1,3,1,69,0
"109",109,2,1,3,1,92,0
